Matricule,Année,PriorityStrategique,Description,Ponderation,IndicateurResultat,Resultat,Commentaire
00004,2023,Robustesse Opérationnelle,Maitrise des documents contractuels,30,"-Mise en place d'un inventaire des principales clauses juridiques des principaux contrats clients
-mise en place d'un système de suivi de la bonne application des clauses contractuelles des principaux contrats clients avec la DCM et de suivi des non-conformités
-Tableau récapitulatif des obligations de la Convention de concession qui incombe à chaque Direction établi et diffusé par la DJA pour leur maitrise
-Revue d'un panel de contrat avec Gide en vue d'identifier les risques et le cas éhéant de réduire nos responsabilités, augmenter nos voies de recours en cas de litige et mieux maitrisier les risques de contentieux",0,
00004,2023,Robustesse Opérationnelle,Sondage annuel DJA satisfaisant,15,Résultat supérieur à 75%,0,
00004,2023,Robustesse Opérationnelle,Contribution pour la mise en place de 'E&C,10,Plan d'action 2023 est réalisé à 100% (+ ou - 10%),0,
00004,2023,Robustesse Opérationnelle,,0,,0,
00004,2023,Performance Financière,Contribuer à l'atteinte d'un EBITDA 2023 de 12 000 000 €,15,"-Accompagnement effectif des autres directions à faire des économies sur leurs démarches amiables ou contractuelles 
-Recouvrement amiable ou judiciaire réelle",0,
00004,2023,Performance Financière,Recouvrer les incidents non couverts par les assurances et les créanciers,15,Paiement effectif par les auteurs des incidents,0,
00004,2023,Performance Financière,,0,,0,
00004,2023,Performance Financière,,0,,0,
00004,2023,Responsabilité Sociétale d'Entreprise,Réduire de 10% le plafond d'utilisation papier de l'année 2022,10,atteint si total impression annuel réduit de 10% du plafond de l'année 2022,0,
00004,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00004,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00004,2023,Responsabilité Sociétale d'Entreprise,,0,,0,
00005,2023,Robustesse Opérationnelle,"Améliorer la satisfaction des passagers en obtenant au moins 5 items ASQ au-dessus de 4,00 (au total 11 items parmi category scores et ASQ indexes)",25,"atteint si au moins 5 items ASQ sont au-dessus de 4,00 au Q4 2023 partiellement atteint si >=3 items pas atteint si 3 <3 items",0,"6 items sur les 11 ont atteint la note au-dessus de 4,A maintenir jusqu'à la fin de l'année 
Comité ASQ à poursuivre"
00005,2023,Robustesse Opérationnelle,"Accompagner les autres directions à définir les risques opérationnels et techniques ainsi qu'un plan d'action détaillé
Présenter les principales évoluations posibles de la cartographie au CA du mois de novembre",20,"Tous les indicateurs ci-dessous sont remplis:
-Cartographie des risques opérationnels et techniques établis au 15/09
-Plan d'action lié aux risques opéraitonnels et techniques est disponible au 31/12/23
-Les évolutions de la cartographie sont présentées au CA du mois de novembre 2023",0,Tous les indicateurs sont atteints.
00005,2023,Robustesse Opérationnelle,Apporter des améliorations au SMI et maintenir les certifications ISO 9001 et ISO 14001,15,"Tous les indicateurs ci-dessous sont remplis :
-certifications ISO 9001 et ISO 14001 maintenues lors du premier audit de suivi au mois de juillet 2023
-Outil collaboratif fonctionnel au 31/12/23 
-Système de contrôle qualité en place au 31/07/23
-""première pierre"" du contrôle interne en place au 31/12/23",0,"-Audit de suivi réalisé avec 2NC mineures
-Contrôle documentaire réalisé
-Programme de contrôle qualité : délai revu à fin juillet"
00005,2023,Robustesse Opérationnelle,,0,,0,
00005,2023,Performance Financière,Réaliser une économie de 5% sur les OPEX du budget 2023 de la DQRSE,20,atteint si l'économie réalisée est d'au moins 5% au 31/12/2023,0,
00005,2023,Performance Financière,,0,,0,
00005,2023,Performance Financière,,0,,0,
00005,2023,Performance Financière,,0,,0,
