Matricule,Année,Name,ResultText,Result
00023,2023,Assurer la propreté du Terminal B,"Note SPM supérieur ou égal à seuil défini et résultat enquête qualité item ""4-Propreté : propreté du terminal"" supérieur ou égal à 80%",0
00024,2023,1°) Facturation des redevances fret dans les délais et sans erreurs,"- Toutes les factures fret sont exportables au X3 avant le 11 du mois N+1, dont 95% sont sans erreurs
- Factures envoyées sans retard (dans les 5 jours après chaque quinzaine)",0
00024,2023,2°) Baisse 20% de consommation des papiers,"Factures fret envoyées par mail, sans envoi physique, sauf pour les clients qui en demandent",0
00033,2023,Fahavitan'ny annonce isaky ny misy vols,"Tsy misy fanamarihana azo avy amin'ny (compagnie, chef hiérarchique, entité)",0
00033,2023,Fahadiovan'ny comptoir d'enregistrement,Tsy latsaky ny 9/10 ny naoty fiche SPM isam-bolana,0
00034,2023,Assurer le nettoyage du tarmac et des voies de service,Atteint si zéro réclamation (par mois) liée au FOD sur l'aire de mouvement (hors zone intervention balayeuse),0
00034,2023,Assurer la propreté des espaces extérieurs,"Atteint si pas de réclamation ou de notification sur la présence de détritus sur les espaces extérieurs, sur la disponibilité des bacs à ordure sur les espaces extérieurs",0
00037,2023,Acquisition de connaissances/compétences,"Maitrise de tous les systèmes et  bonne gestion des outils de caisse  mis en place ,                                                                                                                                                                                                                 Tous les clients sont  facturés ,                                                                                                                                                                                                                                                 Information bien remplie  et organisé  sur le logiciel et/ou  PVC : plus de vigilance sur les noms des clients, moins d'annulation et rature
Utilisation des fonds de caisse à bon escient 
Ecart de caisse non-significatifs, évaluation sur faits ( information remontée à temps , bien manier l'argent)",0
00037,2023,Satisfaction client  et parties prenantes,"Moins de réclamation  remontée  :  enthousiate, poli, rapide , accueillant
Moins d'erreur dans son compte : rapide, vigilant, sérieux ; moins d'encombrement à la caisse                                                                                                                                                                                                            Augmentation des  paiements mobile money                                                                                                                                                                                                                                                                                                                                                                                                                                                           Respect des procédures mis en vigueur ( presence au poste , pause ,....)",0
00041,2023,Entretenir les espaces verts (salon VVIP),Atteint si planning d'entretien des espaces verts (VVIP) respecté,0
00041,2023,Assurer le desherbage des zones non couvertes par le tracteur,atteint si pas de FNF ni réclamation sur la présence de végétations sur le tarmac (hors intervention tracteur),0
00043,2023,Assurer le nettoyage du tarmac et des voies de service,Zéro réclamation (par mois) liée au FOD sur l'aire de mouvement (hors zone intervention balayeuse),0
00043,2023,Assurer la propreté des espaces extérieurs,"Pas de réclamations ou de notifications sur la présence de détritus sur les espaces extérieurs, sur la disponibilité des bacs à ordure sur les espaces extérieurs",0
00044,2023,Assurer la disponibilité des infrastructures et équipements dans son périmètre,"Atteint si le taux de propreté et disponibilité moyen est > 95% sur l'année sur les infrastructures et équipements suivants:
1- TOITURE : TC - TA/TB - SIEGE
2- TOITURE : TA/TB -FRET
3- CANIVEAU : TC-TA/TB: Publique - Piste
3- REGARD  EAU USEE/VANNE:  Une et mille Choses, ets...
4- BAC A GRAISSE LOUNGE",0
00044,2023,Limité les incidents majeurs au sein de l'aéroport,Atteint si aucun incident majeur dans le périmètre d'intervention de la maintenance Ravinala n'impacte des biens ou des personnes,0
00046,2023,Assurer la disponibilité des infrastructures et équipements de son périmètre,"Le taux de propreté et disponibilité moyen est >95% sur l'année sur les infrastructures et équipements suivants : 
1-TOITURE : TC-TA/TB-SIEGE
2-TOITURE : TA/TB - FRET
3- CANIVEAU : TC-TA/TB : Publique - piste
4- REGARD EAU USEE/VANNE : Une et mille choses, etc.
5- BAC A GRAISSE LOUNGE",0
00046,2023,Limiter les incidents majeurs au sein de l'aéroport,Aucun incident majeur dans le périmètre d'intervention de la maintenance de Ravinala n'impacte des biens ou des personnes,0
00049,2023,Acquisition de connaissances/compétences,"Maitrise de tous les systèmes et  bonne gestion des outils de caisse  mis en place ,                                                                                                                                                                                                                 Tous les clients sont  facturés ,                                                                                                                                                                                                                                                 Information bien remplie  et organisé  sur le logiciel et/ou  PVC : plus de vigilance sur les noms des clients, moins d'annulation et rature
Utilisation des fonds de caisse à bon escient 
Ecart de caisse non-significatifs, évaluation sur faits ( information remontée à temps , bien manier l'argent)",0
00049,2023,Satisfaction client  et parties prenantes,"Moins de réclamation  remontée  :  enthousiate, poli, rapide , accueillant
Moins d'erreur dans son compte : rapide, vigilant, sérieux ; moins d'encombrement à la caisse                                                                                                                                                                                                            Augmentation des  paiements mobile money                                                                                                                                                                                                                                                                                                                                                                                                                                                           Respect des procédures mis en vigueur ( presence au poste , pause ,....)",0
00053,2023,Assurer la propreté du Terminal B,"Note SPM supérieur ou égal à seuil défini et résultat enquête qualité item ""4-Propreté : propreté du terminal"" supérieur ou égal à 80%",0
00054,2023,Performance opérationnelle Cargo,Budget 2023 revisé atteint,0
00054,2023,Développement opérationnel Cargo,Reporting mensuel à temps,0
00057,2023,Assurer le suivi des activités dans le TB,Atteint si compte-rendu disponible et transmis au REP à chaque fin de shift (journalier),0
00057,2023,Garantir l'effectif opérationnel à chaque shift,atteint si effectif opérationnel au TB complet à chaque traitement de vols,0
00058,2023,Fahadiovan'ny bureau caisse parking sy manodidina,"Tsy misy fanamarihana azo avy amin'ny pax, entités, lehibe",0
00058,2023,Tsy misy fahabanganany recetteparking,Tsy misy fanamarihana avy amin'ny lehibe,0
00059,2023,Gestion et sécurisation aires de mouvement,ASR 1 fara fahabetsany anatin'ny 6 mois,0
00059,2023,"Mise à jour et classement des documents (RCR, suivi piste, observation oiseaux, FEX)",Mise à jour na misy na tsy misy tranga ary tsy misy fitarainana (=zéro) avy amin'ny Supérieur hiérarchique na entités,0
00060,2023,Fanaraha-maso sy fitsarana ny fahadiovana,Feno ara-dalàna ny fiche SPM,0
00060,2023,Fanaraha-maso ny parking,Tsy misy fanamarihana avy amin'ny mpanjifa,0
00063,2023,Limiter le nombre d'ASR reçu de la part des compagnies à 04 en 2023,ASR<à 4 en 2023 (responsabilité de RA),0
00063,2023,Contribuer  à la redéfinition du chemin de ronde sur l'aérport de TNR,Nouveau tracé de chemin de rondre proposé à la hiérarchie avant fin juin (idéal+ réaliste),0
00064,2023,Performance opérationnelle Cargo,Budget 2023 revisé atteint,0
00064,2023,Développement opérationnel Cargo,Reporting mensuel à temps,0
00065,2023,Etablir les bons de commande,Etablissement des bons de commande dans le temps après réception des DA effectué à temps sans gap,0
00065,2023,Sortie fourniture et collation,Les utilisateurs sont satisfaits quant à la mise à disposition des fournitures de bureau et des collations,0
00065,2023,Suivi des commandes,Exportation manuelle des données de X3 vers Excel,0
00067,2023,Assurer le nettoyage du tarmac et des voies de service,Atteint si zéro réclamation (par mois) liée au FOD sur l'aire de mouvement (hors zone intervention balayeuse),0
00067,2023,Assurer la propreté des espaces extérieurs,"Atteint si pas de réclamation ou de notification sur la présence de détritus sur les espaces extérieurs, sur la disponibilité des bacs à ordure sur les espaces extérieurs",0
00068,2023,Entretenir les espaces verts (salon VVIP),Atteint si planning d'entretien des espaces verts (VVIP) respecté,0
00068,2023,Assurer le desherbage des zones non couvertes par le tracteur,atteint si pas de FNF ni réclamation sur la présence de végétations sur le tarmac (hors intervention tracteur),0
00069,2023,Assurer le nettoyage du tarmac et des voies de service,Atteint si zéro réclamation (par mois) liée au FOD sur l'aire de mouvement (hors zone intervention balayeuse),0
00069,2023,Assurer la propreté des espaces extérieurs,"Atteint si pas de réclamation ou de notification sur la présence de détritus sur les espaces extérieurs, sur la disponibilité des bacs à ordure sur les espaces extérieurs",0
00070,2023,Assurer le nettoyage du tarmac et des voies de service,Atteint si zéro réclamation (par mois) liée au FOD sur l'aire de mouvement (hors zone intervention balayeuse),0
00070,2023,Assurer la propreté des espaces extérieurs,"Atteint si pas de réclamation ou de notification sur la présence de détritus sur les espaces extérieurs, sur la disponibilité des bacs à ordure sur les espaces extérieurs",0
00071,2023,Acquisition de connaissances/compétences,"Maitrise de tous les systèmes et  bonne gestion des outils de caisse  mis en place ,                                                                                                                                                                                                                 Tous les clients sont  facturés ,                                                                                                                                                                                                                                                 Information bien remplie  et organisé  sur le logiciel et/ou  PVC : plus de vigilance sur les noms des clients, moins d'annulation et rature
Utilisation des fonds de caisse à bon escient 
Ecart de caisse non-significatifs, évaluation sur faits ( information remontée à temps , bien manier l'argent)",0
00071,2023,Satisfaction client  et parties prenantes,"Moins de réclamation  remontée  :  enthousiate, poli, rapide , accueillant
Moins d'erreur dans son compte : rapide, vigilant, sérieux ; moins d'encombrement à la caisse                                                                                                                                                                                                            Augmentation des  paiements mobile money                                                                                                                                                                                                                                                                                                                                                                                                                                                           Respect des procédures mis en vigueur ( presence au poste , pause ,....)",0
00072,2023,Assurer la propreté du Terminal B,"Atteint si note SPM supérieur ou égal à seuil défini & Résultat Enquête qualité item ""4-Propreté: propreté du terminal"" supérieur ou égal à 80%",0
00077,2023,Assurer le nettoyage du tarmac et des voies de service,Atteint si zéro réclamation (par mois) liée au FOD sur l'aire de mouvement (hors zone intervention balayeuse),0
00077,2023,Assurer la propreté des espaces extérieurs,"Atteint si pas de réclamation ou de notification sur la présence de détritus sur les espaces extérieurs, sur la disponibilité des bacs à ordure sur les espaces extérieurs",0
00079,2023,Assurer la disponibilité des infrastructures et équipements dans son périmètre,"Atteint si le taux de propreté et disponibilité moyen est > 95% sur l'année sur les infrastructures et équipements suivants:
1- TOITURE : TC - TA/TB - SIEGE
2- TOITURE : TA/TB -FRET
3- CANIVEAU : TC-TA/TB: Publique - Piste
3- REGARD  EAU USEE/VANNE:  Une et mille Choses, ets...
4- BAC A GRAISSE LOUNGE",0
00079,2023,Limité les incidents majeurs au sein de l'aéroport,Atteint si aucun incident majeur dans le périmètre d'intervention de la maintenance Ravinala n'impacte des biens ou des personnes,0
00080,2023,Fiche de stock à jour,Mise à jour des fiches casiers effectué à temps,0
